uniprot_id,GO_IDs
Q9Y233,GO_0047555;GO_0010754;GO_0006198;GO_0003824;GO_0005737;GO_0004118;GO_0007165;GO_0045202;GO_0004115;GO_0030553;GO_0000166;GO_0016787;GO_0005829;GO_0030552;GO_0004114;GO_0008081;GO_0106070;GO_0046872;GO_0046069;GO_0019933;GO_0141161;GO_0098978
P22734,GO_0032094;GO_0042424;GO_0035264;GO_0016740;GO_0032502;GO_0006979;GO_0045211;GO_0005977;GO_0006629;GO_0006693;GO_0009266;GO_0048265;GO_0000287;GO_0034097;GO_0032496;GO_0043197;GO_0001975;GO_0006584;GO_0009636;GO_0032259;GO_0035812;GO_1990776;GO_0005886;GO_0030424;GO_0009611;GO_0071314;GO_0001822;GO_0007565;GO_0071626;GO_0007612;GO_0097018;GO_0001963;GO_0098794;GO_0033555;GO_0005829;GO_0007611;GO_0008171;GO_0001964;GO_0009410;GO_0050965;GO_0045963;GO_0016020;GO_0042417;GO_0046500;GO_0001662;GO_0032835;GO_0051412;GO_0048243;GO_0048662;GO_0016036;GO_0001666;GO_0042415;GO_0008217;GO_0035640;GO_0031982;GO_0060840;GO_0042420;GO_0021696;GO_0042596;GO_0030425;GO_0033344;GO_0007614;GO_0046959;GO_0098978;GO_0016206;GO_0008542;GO_0046498;GO_0050890;GO_0014046;GO_0005737;GO_1902074;GO_0097333;GO_0002001;GO_0050668;GO_1903350;GO_0044297;GO_0097205;GO_0008168;GO_0043627;GO_0008210;GO_0097336;GO_0006950;GO_0007613;GO_0046872;GO_0010467
P00489,GO_0098723;GO_0000166;GO_0004645;GO_0003824;GO_0005975;GO_0005980;GO_0005977;GO_0005737;GO_0016757;GO_0030170;GO_0016740;GO_0008184
O60885,GO_0010971;GO_0000785;GO_0042393;GO_2000330;GO_0004674;GO_0006338;GO_0002039;GO_0032968;GO_0003712;GO_0019899;GO_0003713;GO_0003682;GO_0006357;GO_0043123;GO_0070577;GO_0006325;GO_0005515;GO_0006974;GO_0099122;GO_0000976;GO_0008353;GO_0005634;GO_0050727;GO_0000794;GO_0140008;GO_0045944;GO_0005694;GO_0005654;GO_0045893;GO_0106140
P00519,GO_0030182;GO_0019901;GO_2000772;GO_0098609;GO_0016740;GO_0072359;GO_0050798;GO_0006979;GO_0005524;GO_0097100;GO_0048538;GO_0000287;GO_0032956;GO_0060020;GO_0007204;GO_0007249;GO_2000773;GO_0008047;GO_0003785;GO_0004515;GO_0006909;GO_0030509;GO_0007173;GO_0090398;GO_0017124;GO_0051281;GO_0030514;GO_0005080;GO_0004713;GO_0000166;GO_0019899;GO_0045931;GO_0002333;GO_0043123;GO_0000405;GO_0021587;GO_0030035;GO_0019904;GO_1903053;GO_1904157;GO_0032729;GO_0071222;GO_0019905;GO_0001922;GO_0050885;GO_0033690;GO_0051402;GO_0002322;GO_0051649;GO_0048536;GO_2000352;GO_0051444;GO_0070371;GO_0051726;GO_0009791;GO_0004672;GO_0005515;GO_0042100;GO_0000400;GO_0032743;GO_0001843;GO_0003677;GO_0050852;GO_0042127;GO_0030845;GO_0016301;GO_0060563;GO_0003713;GO_0070373;GO_0030145;GO_0048008;GO_0046632;GO_0050853;GO_0001784;GO_0070374;GO_0022408;GO_0045930;GO_0004715;GO_0034446;GO_2000096
P03367,GO_0033644;GO_0052150;GO_0072494;GO_0030430;GO_0004519;GO_0006508;GO_0075713;GO_0034061;GO_0003824;GO_0008289;GO_0043657;GO_0003964;GO_0039657;GO_0015074;GO_0016740;GO_0016779;GO_0044174;GO_0003887;GO_0016032;GO_0005198;GO_0016787;GO_0020002;GO_0035613;GO_0006310;GO_0052151;GO_0004518;GO_0042025;GO_0019013;GO_0044826;GO_0004190;GO_0075523;GO_0008233;GO_0004533;GO_0016020;GO_0075732;GO_0046872;GO_0003723;GO_0019028;GO_0044423;GO_0006278;GO_0003677;GO_0004523;GO_0046718;GO_0055036;GO_0003676;GO_0008270
P24941,GO_0000122;GO_0097472;GO_0004674;GO_0016740;GO_0016301;GO_0032298;GO_0006813;GO_0035173;GO_0000166;GO_0005524;GO_0000287;GO_0004672;GO_0005515;GO_0019904;GO_0004693;GO_0006351;GO_0000082;GO_0046872;GO_0106310;GO_0045893;GO_0030332
P37231,GO_0045923;GO_1902895;GO_0050728;GO_0032869;GO_0003682;GO_0006357;GO_0050692;GO_0006629;GO_0046965;GO_0140297;GO_0015909;GO_0070888;GO_0032376;GO_0060392;GO_1904893;GO_0003690;GO_0043565;GO_0003700;GO_1903243;GO_0007186;GO_0010629;GO_0030522;GO_0045944;GO_0000981;GO_0030509;GO_0010745;GO_0045600;GO_1904597;GO_0000785;GO_1904179;GO_0070165;GO_0070412;GO_0030512;GO_0030514;GO_0045892;GO_0007165;GO_1902894;GO_0019899;GO_0004955;GO_0071456;GO_0010628;GO_0009755;GO_0001227;GO_0042802;GO_0000976;GO_1905563;GO_0043409;GO_0043537;GO_0005634;GO_0001221;GO_0045668;GO_0016525;GO_0008270;GO_0005654;GO_0050699;GO_0048469;GO_2001235;GO_0000122;GO_0045087;GO_0042953;GO_0048662;GO_0097677;GO_0033993;GO_0042789;GO_0035357;GO_0042277;GO_0001228;GO_0008217;GO_0000978;GO_0004879;GO_0050544;GO_0006631;GO_0005515;GO_1900076;GO_0071404;GO_0030154;GO_0001890;GO_0090258;GO_0030224;GO_0003677;GO_1905599;GO_0003676;GO_0007584;GO_1903845;GO_0042752;GO_1904706;GO_0060336;GO_0042593;GO_0048511;GO_0030855;GO_1905461;GO_0050872;GO_0055088;GO_0006355;GO_1901202;GO_0010888;GO_0051393;GO_0010887;GO_0048384;GO_0046872;GO_0010875;GO_0045165;GO_0050693;GO_0045893
Q24451,GO_0003824;GO_0030246;GO_0016798;GO_0004559;GO_0000139;GO_0005794;GO_0016787;GO_0005975;GO_0004572;GO_0006491;GO_0006486;GO_0005783;GO_0016063;GO_0016020;GO_0046872;GO_0005795;GO_0006013;GO_0015923;GO_0035010
P00517,GO_0001707;GO_0070613;GO_0034237;GO_0007189;GO_2000810;GO_0005930;GO_0048240;GO_0034605;GO_0019901;GO_0061136;GO_0070417;GO_0005737;GO_0007193;GO_0046827;GO_0004674;GO_0050804;GO_0007165;GO_0031594;GO_0016740;GO_0048471;GO_0006611;GO_0016301;GO_0006397;GO_0098794;GO_0000166;GO_0005524;GO_0030007;GO_0030145;GO_0032024;GO_0071377;GO_0005829;GO_0097546;GO_0005952;GO_0005813;GO_0045879;GO_0045667;GO_1904262;GO_0099170;GO_0051726;GO_0000287;GO_0031625;GO_0016607;GO_0004672;GO_0005515;GO_0005739;GO_0019904;GO_0018105;GO_0045542;GO_0005634;GO_0004691;GO_1990044;GO_0071333;GO_1904539;GO_0001669;GO_0001843;GO_0016020;GO_0004712;GO_0044853;GO_0106310;GO_0005886;GO_0036126;GO_0045722;GO_0098978;GO_0006468;GO_0071374;GO_0050766
