uniprot_id,GO_IDs
B5BTR7,GO_0046872;GO_0030430;GO_0044423
E2EA82,GO_0044163;GO_0033644;GO_0044168;GO_0044172;GO_0044423;GO_0044165;GO_0030430;GO_0140267;GO_0020002;GO_0019058;GO_0039624;GO_0039665;GO_0046718;GO_0016020;GO_0019062;GO_0019028
Q9BZ95,GO_0046872;GO_0140537;GO_0005515;GO_0140938;GO_0008168;GO_0042054;GO_0016740;GO_0046975;GO_0008270
P01116,GO_0032228;GO_0060252;GO_0010628;GO_0035022;GO_0000166;GO_0021897;GO_0030036;GO_0043524;GO_0016601;GO_0051402;GO_0003924;GO_0014009;GO_0048169;GO_0010467;GO_0051146;GO_0060441;GO_0008283;GO_0048873;GO_0060509;GO_0007265;GO_0008542;GO_0035914;GO_0030857
A0A384,GO_0009536;GO_0017004;GO_0020037;GO_0009579;GO_0009535;GO_0005886;GO_0009507;GO_0016020
P07900,GO_0005515;GO_0003729;GO_0000166;GO_0003723;GO_0007004;GO_0002134;GO_0002135
P0AD57,GO_0004659;GO_0046872;GO_0005829;GO_0042803;GO_0106350;GO_0016094;GO_0006744;GO_0016740;GO_0008299;GO_0005515;GO_0042802
Q96EP0,GO_0060546;GO_0005515;GO_0004842
F1QCV2,GO_0036269;GO_0046872;GO_0035825;GO_0005737;GO_0047609;GO_0106047;GO_0016236;GO_0005634;GO_0019213;GO_0040029;GO_0106048;GO_0016787;GO_0047611;GO_0033558;GO_0008270
P43254,GO_0005515;GO_0004842;GO_0010119;GO_0009963;GO_0009647;GO_0009640;GO_0009641;GO_0048573;GO_0046283;GO_0010224;GO_0006281;GO_0009649
E5KIY2,GO_0046872
P0A0Z8,GO_0016779;GO_0005737;GO_0016740;GO_0008781
C5GC63,GO_0003824;GO_0003674;GO_0016491;GO_0016620;GO_0016903;GO_0004073;GO_0009987;GO_0008150;GO_0019752;GO_0043436;GO_0006082;GO_0044281;GO_0008152;GO_1901605;GO_0006520;GO_0044238;GO_0009058;GO_0170033;GO_0170039;GO_0009066;GO_0006566;GO_0044272;GO_0006790;GO_0044283;GO_0046394;GO_0016053;GO_0008652;GO_0170038;GO_0170034;GO_1901607;GO_0110165;GO_0005575;GO_0005622;GO_0005737;GO_0043229;GO_0043226;GO_0043227;GO_0043231;GO_0005634
P46598,GO_0140662;GO_0005829;GO_0042981;GO_0030447;GO_0000166;GO_0005524;GO_0005886;GO_1900429;GO_0016887;GO_0051082;GO_0030518;GO_0044182;GO_0006457;GO_0034605;GO_0050821
Q5SLD7,GO_0005488;GO_0003674;GO_0070492;GO_0030246;GO_0048030;GO_1901982;GO_0015144;GO_0022857;GO_0005215;GO_0015574;GO_0015154;GO_0015157;GO_0051179;GO_0008150;GO_0006810;GO_0051234;GO_0015766;GO_0015772;GO_0008643;GO_0110165;GO_0005575;GO_1902495;GO_0098796;GO_0016020;GO_1990351;GO_0032991;GO_0098533;GO_0098797;GO_0005886;GO_0043190;GO_0055052;GO_0071944
P03211,GO_0006355;GO_0004519;GO_0042025;GO_0045893;GO_0004518;GO_0003677;GO_0140767;GO_0085034;GO_0019042;GO_0016787;GO_0075341;GO_0003700;GO_0075342;GO_0006275;GO_0005515
Q07817,GO_0009566;GO_0040008;GO_0035234;GO_0007281;GO_0009615;GO_0007283;GO_0097048;GO_0051093;GO_0043066;GO_0001701;GO_0050673;GO_0044565;GO_0008584;GO_0009314;GO_0043524;GO_0051402;GO_0032946;GO_0034097;GO_0001541;GO_0001836;GO_0008630;GO_0007005;GO_0071230;GO_0046898
P56817,GO_0005515;GO_0004190;GO_0004175;GO_0001540;GO_0050435
P17931,GO_2001200;GO_0004864;GO_0005515;GO_0003723;GO_0062023
P68400,GO_0000166;GO_0031519;GO_0004672;GO_0004674
P01112,GO_0090402;GO_0032729;GO_0003925;GO_0006897;GO_0090398;GO_0010628;GO_0000166;GO_0051726;GO_0043524;GO_0051402;GO_0003924;GO_0007264;GO_0048144;GO_0048146;GO_0048169;GO_0042832;GO_0042088;GO_0008284;GO_0005515;GO_0097193;GO_0050852
O43791,GO_0000209;GO_0043161;GO_0031625;GO_0030162;GO_0140678;GO_0030163;GO_0016567;GO_0005515;GO_0042802
B1MDI3,GO_0005737;GO_0002939;GO_0005829;GO_0032259;GO_0008168;GO_0052906;GO_0016740;GO_0006400;GO_0008033
P45452,GO_0004222;GO_0005509;GO_0005518;GO_0004252;GO_0004175;GO_0003417;GO_0008270;GO_0008237;GO_0008233
P22073,GO_0005829;GO_0000272;GO_0008422;GO_0016798;GO_0016052;GO_0016787;GO_0030245;GO_0004553;GO_0005975
Q47030,GO_0046353;GO_0046872;GO_0016740;GO_0046677;GO_0008080;GO_0016746
P53617,GO_0001068;GO_0003723;GO_0071028;GO_0042780;GO_0031126;GO_0003729;GO_0034472;GO_0030847;GO_0031124;GO_0003676;GO_0071034;GO_0019904;GO_0005515
Q30W70,GO_0120525;GO_0033265;GO_0005829;GO_0003824;GO_0016840;GO_0042426;GO_0016829;GO_0042803
P01375,GO_0006954;GO_0043491;GO_0150129;GO_1902894;GO_0002637;GO_1900017;GO_1902895;GO_0000122;GO_0006006;GO_0010629;GO_0006952;GO_0007254;GO_0002925;GO_0006959;GO_0008625;GO_0010628;GO_0002876;GO_0008630;GO_0043410
P52045,GO_0004492;GO_0005829;GO_0003824;GO_0016829;GO_0006635;GO_0016831
P0DP23,GO_0050848;GO_0000086;GO_0005246;GO_0005509;GO_0005515
A6V1E4,GO_0008610;GO_0005737;GO_0009245;GO_0016740;GO_0016020;GO_0006629;GO_0008780;GO_0016746
Q15561,GO_0045165;GO_0003700;GO_0005515;GO_0001228;GO_0006357;GO_1902459;GO_0000981;GO_0001708;GO_0001830;GO_0003677;GO_0007566;GO_0001701;GO_0001825;GO_0000978
